Prep,Day,Treatment,Condition,Cell #,Cell Area,LAMP1(5-500),Size LAMP1(5-500),LAMP1(>500),Size LAMP1(>500),LC3(5-500),Size LC3(5-500),LC3(>500),Size LC3(>500),LAMP1+LC3(5-500),Size LAMP1+LC3(5-500),LAMP1+LC3(>500),Size LAMP1+LC3(>500),
HA843,D2,CTRL,N1,32,1185483,401,14.75,1,3921,7,19.28,0,0,2,49.5,0,0,
HA843,D2,CTRL,N1,39,1325315,1008,18.51,0,0,37,14.21,0,0,8,14,0,0,
HA843,D2,CTRL,N1,35,845115,504,18.42,0,0,9,11.33,0,0,3,18,0,0,
HA843,D2,CTRL,LG,31,1239077,1182,19.24,1,518,30,8.43,0,0,2,10,0,0,
HA843,D2,CTRL,LG,21,1262332,674,16.77,0,0,20,8.8,0,0,1,9,0,0,
HA843,D2,CTRL,LG,16,701960,667,15.58,0,0,13,8.15,0,0,0,0,0,0,
HA843,D2,CTRL,NG,39,888203,135,10.76,0,0,9,7,0,0,0,0,0,0,
HA843,D2,CTRL,NG,14,655311,239,14.485,0,0,6,6.83,0,0,1,5,0,0,
HA843,D2,CTRL,NG,17,559008,843,29.15,6,1066.83,4,8.25,0,0,0,0,0,0,
HA843,D2,CQ,N1,16,1043036,1268,21.33,2,720.5,304,21.062,0,0,21,32.095,0,0,
HA843,D2,CQ,N1,15,760155,357,14.94,0,0,133,18.9,0,0,5,27.2,0,0,
HA843,D2,CQ,N1,9,357494,849,38.25,13,1853.61,24,9.25,0,0,9,9.55,0,0,
HA843,D2,CQ,LG,40,785212,693,15.97,0,0,9,10,0,0,3,11.3,0,0,
HA843,D2,CQ,LG,11,466143,414,16.16,0,0,2,11.5,0,0,0,0,0,0,
HA843,D2,CQ,LG,24,377574,811,22.03,1,570,55,16.72,0,0,2,38,0,0,
HA843,D2,CQ,NG,8,106467,398,28.608,0,0,0,0,0,0,0,0,0,0,
HA843,D2,CQ,NG,5,316597,203,16.54,0,0,0,0,0,0,0,0,0,0,
HA843,D2,CQ,NG,9,244109,77,14.1,1,1254,1,20,0,0,0,0,0,0,
HA843,D2,D+T,N1,30,1130521,750,16.69,1,927,9,7.33,0,0,2,5.5,0,0,
HA843,D2,D+T,N1,20,786473,389,15.95,0,0,93,9.9,0,0,5,13.4,0,0,
HA843,D2,D+T,N1,8,251858,511,22.278,2,1458,13,8.5,0,0,5,11.4,0,0,
HA843,D2,D+T,LG,21,1392093,471,16.73,0,0,2,6,0,0,0,0,0,0,
HA843,D2,D+T,LG,35,1613603,353,15.73,0,0,7,10.14,0,0,3,8,0,0,
HA843,D2,D+T,LG,28,1739607,653,15.6,0,0,11,6.72,0,0,0,0,0,0,
HA843,D2,D+T,NG,24,859937,165,13.43,0,0,2,9,0,0,0,0,0,0,
HA843,D2,D+T,NG,22,930084,151,12,0,0,9,8.88,0,0,1,12,0,0,
HA843,D2,D+T,NG,38,897784,214,13.29,0,0,6,9.83,0,0,3,12,0,0,
HA843,D4,CTRL,N1,22,940115,2308,25.58,0,0,78,10.24,0,0,7,7,0,0,
HA843,D4,CTRL,N1,12,637392,1698,26.65,1,605,29,8.86,0,0,2,6.5,0,0,
HA843,D4,CTRL,N1,7,412670,1102,59.74,42,1391.74,28,9.857,0,0,14,9.14,0,0,
HA843,D4,CTRL,LG,23,1501977,2073,22.16,1,567,34,10.94,0,0,3,25.33,0,0,
HA843,D4,CTRL,LG,29,1770059,1438,15.76,0,0,29,20.1,0,0,1,15,0,0,
HA843,D4,CTRL,LG,19,1296424,940,15.12,0,0,15,10.27,0,0,1,8,0,0,
HA843,D4,CTRL,NG,17,1208703,3102,31.73,17,1353.82,230,9.44,0,0,67,8.4,0,0,
